method,run_label,map50,cer08,ece,param_reduction_pct,bn_batches,gate_status,latency_ms_mean,status,weights,reproduce
Baseline (hold-out test),holdout_test_baseline,0.9286933889828436,0.004292,0.040771,0.0,None,reference,None,ok,,
Structural top-3 sensitivity,holdout_top3_sens,0.8889421834524596,0.004673,0.04483,0.15,20,no_gate_json,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_top3_sens.pt,
Structural top-5 sensitivity,holdout_top5_sens,0.8789592112656989,0.004651,0.043411,0.21,20,methodologically_valid,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_top5_sens.pt,
Structural top-3 pareto-gain,holdout_top3_pareto,0.9320885563658579,0.004292,0.040447,5.09,0,deployable_compression_candidate,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_top3_pareto_pareto.pt,
Structural top-5 pareto-gain,holdout_top5_pareto,0.9332717987037947,0.004785,0.041938,5.63,0,deployable_compression_candidate,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_top5_pareto_pareto.pt,
Structural top-5 quantum-qaoa,holdout_top5_qaoa,0.8944880246341368,0.008889,0.038725,0.21,20,methodologically_valid,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_top5_qaoa.pt,
SVD in-place r=0.84 (hold-out test),holdout_low_rank_r084,0.7615427265585788,0.006211,0.034422,None,None,—,None,ok,runs/compressed/low_rank_r0.840/low_rank_r0.840.pt,
Structural top-8 pareto-gain,holdout_top8_pareto,0.9253487424480717,0.004808,0.038878,5.96,0,deployable_compression_candidate,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_top8_pareto_pareto.pt,
Structural full r=0.84,holdout_full,0.2657954123159061,None,None,7.34,20,no_gate_json,None,ok,runs/compressed/structural_low_rank/structural_low_rank_r0.840_holdout_full.pt,
Structural top-5 pareto-gain BN=20 (GPU),holdout_top5_pareto_bn20,None,None,None,None,None,pending,None,pending,,python scripts/compress_model.py --method structural-low-rank --rank-ratio 0.84 --weights $BEST --selection-strategy pareto-gain --max-replaced-layers 5 --sensitivity-file results/summaries/structural_layer_sensitivity_holdout_select.json --bn-data-yaml $HOLDOUT/dota128_holdout_train.yaml --eval-data-yaml $HOLDOUT/dota128_holdout_test.yaml --run-label holdout_top5_pareto_bn20 --device cuda
Latency benchmark CUDA (GPU),holdout_latency_cuda,None,None,None,None,None,pending,None,pending,,See docs/GPU_RUNBOOK.md — benchmark_inference.py --device cuda
